"","date","rides"
"34676",2018-07-17,6650
"34677",2018-07-18,6686
"34678",2018-07-19,15981
"34679",2018-07-20,17526
"34680",2018-07-21,21289
"34681",2018-07-22,12484
"34682",2018-07-23,15220
"34683",2018-07-24,15848
"34684",2018-07-25,14794
"34685",2018-07-26,16406
"34686",2018-07-27,7040
"34687",2018-07-28,6861
"34688",2018-07-29,9853
"34689",2018-07-30,13149
"34690",2018-07-31,7293
"39134",2018-08-01,7056
"39135",2018-08-02,13577
"39136",2018-08-03,17222
"39137",2018-08-04,13914
"39138",2018-08-05,13387
"39139",2018-08-06,6375
"39140",2018-08-07,6007
"39141",2018-08-08,6531
"39142",2018-08-09,6955
"39143",2018-08-10,16770
"39144",2018-08-11,17695
"39145",2018-08-12,13038
"39146",2018-08-13,6600
"39147",2018-08-14,15351
"39148",2018-08-15,14571
"39149",2018-08-16,6598
"39150",2018-08-17,7222
"39151",2018-08-18,12797
"39152",2018-08-19,6719
"39153",2018-08-20,8319
"39154",2018-08-21,9426
"39155",2018-08-22,6389
"39156",2018-08-23,11572
"39157",2018-08-24,11963
"39158",2018-08-25,10814
"39159",2018-08-26,11594
"39160",2018-08-27,13652
"39161",2018-08-28,14394
"39162",2018-08-29,14233
"39163",2018-08-30,6984
"39164",2018-08-31,6517
"43468",2018-09-01,8566
"43469",2018-09-02,5992
"43470",2018-09-03,2944
"43471",2018-09-04,6711
"43472",2018-09-05,7043
"43473",2018-09-06,7563
"43474",2018-09-07,13127
"43475",2018-09-08,11470
"43476",2018-09-09,4851
"43477",2018-09-10,13663
"43478",2018-09-11,14087
"43479",2018-09-12,15152
"43480",2018-09-13,8217
"43481",2018-09-14,15018
"43482",2018-09-15,13813
"43483",2018-09-16,12336
"43484",2018-09-17,7675
"43485",2018-09-18,7538
"43486",2018-09-19,7422
"43487",2018-09-20,7780
"43488",2018-09-21,8171
"43489",2018-09-22,6059
"43490",2018-09-23,4303
"43491",2018-09-24,13519
"43492",2018-09-25,12270
"43493",2018-09-26,13822
"43494",2018-09-27,15056
"43495",2018-09-28,17219
"43496",2018-09-29,14210
"43497",2018-09-30,11521
"47932",2018-10-01,13818
"47933",2018-10-02,9796
"47934",2018-10-03,11352
"47935",2018-10-04,7906
"47936",2018-10-05,7440
"47937",2018-10-06,5357
"47938",2018-10-07,7417
"47939",2018-10-08,6747
"47940",2018-10-09,7270
"47941",2018-10-10,7019
"47942",2018-10-11,7381
